Statewide lockdown orders,,,
State,Order dates,Link to order,Official name of order
Alabama,April 4- April 30,Link,Suspend certain public gatherings
Alaska,March 28 - April 27,Link,Shelter-in-place
Arizona,March 31 - May 15,Link,"Stay home, stay healthy, stay connected"
Arkansas,None,N/A,N/A
California,March 19 - TBD,Link,Shelter-in-place
Colorado,March 26 - April 26,Link,Stay-at-home
Connecticut,March 23 - May 20,Link,"Stay Safe, Stay Home"
Delaware,March 24 - May 31,Link,Stay-at-Home
Florida,April 2 - May 4,Link,Stay-at-home
Georgia,April 3 - April 30,Link,Shelter-in-place
Hawaii,March 25 - May 31,Link,Stay-at-home
Idaho,March 25 - April 30,Link,Stay home
Illinois,March 21 - May 29,Link,Stay-at-Home
Indiana,March 24 - May 1,Link,Stay-at-home
Iowa,None,N/A,N/A
Kansas,March 30 - May 3,Link,Stay home
Kentucky,March 26 - June 29,Link,Stay healthy at home
Louisiana,March 23 - May 15,Link,Stay-at-Home
Maine,April 2 - May 31,Link,Stay-at-home
Maryland,March 30 - May 15,Link,Stay-at-home
Massachusetts,March 24 - May 18,Link,Stay-at-home
Michigan,March 24 - June 1,Link,"Stay Home, Stay Safe"
Minnesota,March 27 - May 17,Link,Stay-at-home
Mississippi,April 3 - April 27,Link,Shelter-in-place
Missouri,April 6 - May 3,Link,Stay Home Missouri
Montana,March 28 - April 26,Link,Stay-at-home
Nebraska,None,N/A,N/A
Nevada,April 1 - May 15,Link,Stay-at-home
New Hampshire,March 27 - June 1,Link,Stay-at-home 2.0
New Jersey,March 21 - June 9 ,Link,Stay-at-home
New Mexico,March 24 - August 28,Link,Stay-at-home
New York,March 20 - June 27,Link,New York State on PAUSE
North Carolina,March 30 - May 22,Link,Stay-at-home
North Dakota,None,N/A,N/A
Ohio,March 23 - May 19,Link,Stay-at-home
Oklahoma,April 1 - May 6,Link,Safer at home
Oregon,March 23 - June 19,Link,Stay-at-home
Pennsylvania,April 1 - June 4,Link,Stay-at-home
Rhode Island,March 28 - May 8,Link,Stay-at-home
South Carolina,April 7 - May 4,Link,Home or work
South Dakota,None,N/A,N/A
Tennessee,March 31 - April 30,Link,Safer at home
Texas,April 2 - April 30,Link,Statewide essential services and activities protocols
Utah,None,N/A,N/A
Vermont,March 24 - May 15,Link,Stay-at-home
Virginia,March 30 - May 29,Link,Stay-at-home
Washington,March 24 - May 31,Link,Stay-at-home
West Virginia,March 24 - May 4,Link,Stay-at-home
Wisconsin,March 25 - May 13,Link,Safer at Home
Wyoming,None,N/A,N/A
