Date / Time,City,State,Shape,Duration,Summary,Posted
4/30/2019 22:00,Ajo,AZ,Light,30 minutes,Rolling thunder-like sounds and 2 floating white lights in clear evening sky. ((anonymous report)),5/9/2019
4/30/2019 21:00,Ephrata,WA,Unknown,25 minutes,4 bright whitish yellow lights completely silent and weaving between each other abnormally close to each other .hear and saw plane afte,5/9/2019
4/30/2019 21:00,Port Neches,TX,Light,45,"The first beam of light I saw in Port Neches, TX, appeared to be coming from the sky, then shot downwards towards a refinery.",5/9/2019
4/30/2019 18:00,Norwalk,CT,,,MADAR Node 103,5/9/2019
4/30/2019 14:00,Panama City Beach,FL,Other,3 hours,"TR-3B anti-gravity spacecraft or UFO Panama City Beach Florida 30 April, 2019.",8/23/2019
4/30/2019 13:18,Boise,ID,,,MADAR Node 116,5/9/2019
4/30/2019 11:51,Norwood,NJ,,,MADAR Node 145,5/9/2019
4/29/2019 23:16,New Lexington,OH,Light,5 seconds,Strange light in Ohio.,5/9/2019
4/29/2019 22:40,Clovis,CA,Unknown,Now,In my back yard st first looks like a blinking star yellow red and blue not moving in sky watch with binoculars Grandson says it is,5/9/2019
4/29/2019 22:10,Hillsboro,OR,Formation,hours,"Hovering, Slow-Blinking Light Object Behind Clouds Studying Us From WAY Up.",6/7/2019
4/29/2019 21:20,Reno,NV,Formation,2 minutes,Tonight I witnessed a formation of 2 silent craft flying from 110 degrees east to 215 degrees southwest. These craft flew in a level di,5/9/2019
4/29/2019 21:00,Troutdale,OR,Formation,30-45 seconds,Appeared first as two stars that should not be there.,5/9/2019
4/29/2019 20:13,Allen,TX,Other,1 minute,3 attached orb cluster with greenish hue connected by diamond shapes flew from south southeast to north northwest in the Allen TX sky.,5/9/2019
4/29/2019 20:01,Boise,ID,,,MADAR Node 116,5/9/2019
4/29/2019 19:50,Miami,FL,Light,15 minutes,"@ brilliant light beams traveling across western sky at high rate of speed in Miami, Florida.",5/9/2019
4/29/2019 19:32,Middletown,CT,Cigar,40 seconds approx,"Pill/cigar shaped, silver or white. No visable wings. Nothing audible to me. Discharged white trail about 2seconds after it came into v",5/9/2019
4/29/2019 15:30,Manalapan,NJ,Cross,3 seconds,While driving my son down Sweetmans Lane he saw a dark grey cross shaped object frozen in the air over the trees along the road,5/9/2019
4/29/2019 13:30,Bowling Green,KY,Light,30 minutes,"Appeared to be a spiraling light that hovered in one main vicinity for about half an hour, as I observed for some time I saw green and",5/9/2019
4/29/2019 13:30,Portland,OR,,39 seconds,"A 30 second close look at a large, quiet gold object with flashing lights, moving at a steady rate.",5/9/2019
4/29/2019 12:38,Boise,ID,,,MADAR Node 111,5/9/2019
4/29/2019 11:35,Minneapolis,MN,Other,10 seconds,((HOAX??)) Mysterious vanishing parachute thing. ((anonymous report)),5/9/2019
4/29/2019 11:00,Philadelphia,PA,Cylinder,10 minutes,"While at work house painting outside, saw a bright silver cylinder. It appeared to be floating. ((anonymous report))",5/9/2019
4/29/2019 8:52,Alexandria,VA,,,MADAR Node 141,5/9/2019
4/29/2019 5:20,Caldwell,ID,Unknown,>30 minutes,2 objects almost looked like playing in the dark sky this morning. Moving at times so fast it made my eyes blur. ((anonymous report)),5/9/2019
4/28/2019 23:30,Kahului,HI,Circle,Continuous,Bright red orb mving in southern sky.,5/9/2019
4/28/2019 21:20,Bridgton,ME,Light,8 seconds,Four witnesses viewed a small erratic light moving rapidly across the evening sky.,5/9/2019
4/28/2019 21:15,Bridgton,ME,Circle,8 seconds,A group of us were sitting around after work talking on the deck of the place we work.One of the guy's yelled to me look a ufo i looked,5/9/2019
4/28/2019 21:00,Westbrook,CT,Circle,5 seconds,"Very slow bright white light at least 5x brighter than any star in the sky, appeared & disappeared on cloudless night",5/14/2019
4/28/2019 19:10,Farmington Hills,MI,Sphere,45 seconds,"Blinking lights ,spkere shaped",5/9/2019
4/28/2019 17:09,Harrison,NJ,,,MADAR Node 121,5/9/2019
4/28/2019 12:30,Longmont,CO,Other,Seconds,At first it lit the sky up like lightning but no sound then then an object with white light around it fell from the sky it left a sligh,5/9/2019
4/28/2019 2:00,Rehoboth,MA,Circle,1 hour,Looked exactly like a star but much brighter. Wasn’t an a/c. ((anonymous report)) ((NUFORC Note: Jupiter or Saturn?? PD)),5/9/2019
4/27/2019 23:25,Salt Lake City,UT,Other,4-5 seconds,Glowing crescent shape flew in a large arc,5/9/2019
4/27/2019 21:30,Hebron,MD,Oval,15 minutes,"5 crafts- Hebron, Maryland at 9:30 pm on April, 27. 2019",5/9/2019
4/27/2019 20:15,Anderson,SC,Circle,1 minute,"Round, black basketball-like, silent flying object.",5/9/2019
4/27/2019 20:00,Bryan,TX,Unknown,4,Three lights in a vertical row. ((anonymous report)),5/9/2019
4/27/2019 19:25,Austin,TX,Triangle,15 minutes,Brown boomerang shape glided across the sky with no light or sound.,5/9/2019
4/27/2019 17:30,Lakeside,AZ,Circle,60 minutes,I saw 3 of those scary things comming from the sw going ne they disapeared when they got to Porter Mtn. ((anonymous report)),5/9/2019
4/27/2019 17:00,Henderson,NV,Rectangle,3.5 minutes,They were all in a row and hovering over Henderson 1 had red lights flashing the other two had 1 red light and white lights. They staye,5/9/2019
4/27/2019 13:30,Littleton,CO,Light,10 minutes,"Bright light seen tracking an airplane, joined by another light and then disappears.",5/9/2019
4/27/2019 4:00,Greenville,SC,Circle,3 minutes,I was leaving my girlfriend's house approximately at 4:00am when we saw a abnormal circular shaped object moving across the skyline. I,5/14/2019
4/27/2019 3:51,Bullhead City,AZ,Unknown,5-10 seconds,Observed a fast pace faintly lit orange colored unknown object in the night sky...,5/9/2019
4/27/2019 3:00,St. Joseph,MN,Fireball,10 seconds,Fireball that changed directions and vanished,5/9/2019
4/27/2019 0:24,Dayton,TX,Light,2 seconds,Object appeared in Draco constellation as bright as star Arcturus then disappeared.,12/1/2019
4/26/2019 23:30,Nanaimo (Canada),BC,Fireball,15 seconds,Neon pink and blue fireball.,5/9/2019
