Date / Time,City,State,Shape,Duration,Summary,Posted
6/30/2020 23:40,Boise,ID,,East,Green light with streak see over downtown boise,7/3/2020
6/30/2020 22:37,Ladera Ranch,CA,Light,2 seconds,Disk clump of bright gold and white lights. silent and below the fog and fast.,7/9/2020
6/30/2020 22:05,Kokomo,IN,Light,15 minutes,"Bright Lights Moving Erratically over Kokomo, IN.",7/3/2020
6/30/2020 22:00,Gibsonton,FL,Fireball,5-10 minutes,Round large object emitting red light,7/23/2020
6/30/2020 19:28,Ashland,OR,Sphere,<20 seconds,"Small, rotating metallic sphere, over Grizzly Peak, Ashland, OR traveling southbound; then disappears.",7/3/2020
6/30/2020 16:15,Milwaukie,OR,Diamond,<1 minute,I was in my backyard I was oriented East. It was partly cloudy that day. I was going back into my house when an object caught my eye.,7/9/2020
6/30/2020 0:25,Pueblo,CO,,,MADAR Node 83,7/23/2020
6/29/2020 23:00,Magnet,IN,Light,20 minutes,"Two bright lights hovering in sky, blinking on and off, leaving in opposite directions, then one reappearing.",7/3/2020
6/29/2020 22:44,Centennial,CO,Sphere,2-4 minutes,4 star-sized craft moving over Centennial Colorado in different directions in under 4 minutes.,7/3/2020
6/29/2020 22:30,St. Clair Shores,MI,Circle,5-6 seconds,Lights Spinning Slowly for a moment then zoomed north.,7/3/2020
6/29/2020 22:00,Big Bear Lake,CA,Unknown,1 seconds,2 Bright Speeding Lights over Big Bear Lake,7/9/2020
6/29/2020 21:50,Arden,NC,Teardrop,1 minute,Glowing orange inverted teardrop silently flying low overhead,7/3/2020
6/29/2020 21:20,Bel Air,MD,Flash,10 seconds,"I was sitting on my deck looking up at the moon when suddenly there was an orange flash, this continued in intervals of 3-4 seconds thr",7/3/2020
6/29/2020 21:00,Ocean Isle Beach,NC,Chevron,10 seconds,orange orbs,7/3/2020
6/29/2020 21:00,Pembroke (Canada),ON,Light,All night til sunrise,Bright light that follows me around.,7/3/2020
6/29/2020 21:00,Oak Island,NC,Circle,15 seconds,"Bright lights appeared off the coast, multiplied, disappeared, and a single light reappeared and vanished again.",7/3/2020
6/29/2020 12:52,Pine Mountain,GA,Unknown,2.5 seconds,High speed UAP sound in 2.5 seconds.,7/3/2020
6/29/2020 12:00,San Diego,CA,Disk,1 minute,"It was a still, partly cloudy day. While looking at the beautiful sky I spotted 1 object in the N-NE sky in a section of sky without an",7/3/2020
6/29/2020 10:40,York,PA,Cigar,Few seconds,"A silver, cigar shaped ufo flew over my workplace. It was barely visible on this clear day. It had no wings and very thin. It flew pret",7/3/2020
6/29/2020 5:10,St. Louis,MO,,,MADAR Node 70,7/23/2020
6/29/2020 4:00,Elmont,NY,Circle,1.5 hours,Perfectly still golden orb in the sky for a long duration over Long Island.,7/3/2020
6/29/2020 2:43,Gainesville,FL,Other,5 minutes,Started as a shooting star. Coming downward until it turned to a teardrop with a fire tail. Then it stoped and started to pulsate a ver,7/3/2020
6/29/2020 1:25,Mt. Vernon,IN,,,MADAR Node 119,7/23/2020
6/29/2020 0:55,BAYONNE,NJ,Triangle,<1 minute,Triangular shaped unidentified flying object with three lights at its corners hovering over the Hudson River for roughly 45 seconds bef,7/3/2020
6/29/2020 0:10,St. Louis,MO,,,MADAR Node 70,7/3/2020
6/29/2020 0:02,Manchester,CT,,,MADAR Node 151,7/23/2020
6/28/2020 23:00,Jamestown,RI,Light,1hr+,6 plus people witness a bright light .oving in strange directions,7/9/2020
6/28/2020 22:15,Raymond,WA,Sphere,3-4 minutes,"Orange ball, obviously with intelligence, moving unnaturally.",7/3/2020
6/28/2020 21:17,Torrey,UT,Circle,45 minutes,The object was a disc-like shape. There were faded lines that split the disc as well. Another characteristic that stuck out was the thr,7/3/2020
6/28/2020 21:03,Milford,CT,Circle,10 seconds,Bright light morphed into craft over Milford Connecticut disappeared in thin air.,7/3/2020
6/28/2020 20:35,Walker,LA,Triangle,2 minutes,Large Triangular UFO Spotted Moving Slowly Over Louisiana Town.,7/3/2020
6/28/2020 20:15,South Dundas,ON,Triangle,20 seconds,Reflective triangle moving slowly through sky,7/3/2020
6/28/2020 18:25,Dix Hills,NY,,7 minutes,Doughnut shaped ufo drifts and moved but there was no wind.,7/3/2020
6/28/2020 17:32,Cerritos,CA,Teardrop,,A tear shaped object with two tail fins photographed appears to be traveling at a high speed.,8/20/2020
6/28/2020 16:00,Hazlet,NJ,Sphere,18 seconds,"I was taking phone videos OF STORMS in my area,when 21 seconds INTO VIDIO a ROUND RED object went from north to south, I checked my pho",7/3/2020
6/28/2020 11:00,Reno,NV,Formation,10-20 minutes,"4 objects in flight, sometimes formation, following a path over SE Reno, towards CA/NV state line, moving in all directions over time,",7/3/2020
